Date,strategy_rebalance_cum
2024-08-01,1.0
2024-08-02,0.9974693484191148
2024-08-05,0.9834760289331894
2024-08-06,0.9844274335759085
2024-08-07,0.9800870741786386
2024-08-08,0.9898252183236784
2024-08-09,0.9937252201691404
2024-08-12,0.9949047861023871
2024-08-13,1.004519927460305
2024-08-14,1.0070058978325522
2024-08-15,1.012774005863227
2024-08-16,1.014999905719968
2024-08-19,1.0201656814942863
2024-08-20,1.0210124641581908
2024-08-21,1.0238153543695558
2024-08-22,1.0178821228593198
2024-08-23,1.0253222010131673
2024-08-26,1.023599414893796
2024-08-27,1.0242521265251245
2024-08-28,1.0211234113849712
2024-08-29,1.0203595955263471
2024-08-30,1.0237827929356502
2024-09-02,1.0237827929356502
2024-09-03,1.0163359542472283
2024-09-04,1.0177830804970194
2024-09-05,1.017945656849259
2024-09-06,1.0106441931569876
2024-09-09,1.0166201899716178
2024-09-10,1.020488029169486
2024-09-11,1.025059761074221
2024-09-12,1.028486619464328
2024-09-13,1.032151911146899
2024-09-16,1.0343254537571513
2024-09-17,1.0337892639884512
2024-09-18,1.0306796007975183
2024-09-19,1.03884725361534
2024-09-20,1.0379394876191506
2024-09-23,1.0387748027943857
2024-09-24,1.0408205018641246
2024-09-25,1.0376826070402683
2024-09-26,1.039593095959581
2024-09-27,1.0405249140247825
2024-09-30,1.0412027948633515
2024-10-01,1.038516805005842
2024-10-02,1.0376836087182364
2024-10-03,1.0343561734562217
2024-10-04,1.0350842561967233
2024-10-07,1.0290938259796947
2024-10-08,1.0344336511020273
2024-10-09,1.0362642669798676
2024-10-10,1.035196670138939
2024-10-11,1.038150469053423
2024-10-14,1.041716711398627
2024-10-15,1.0401514873121878
2024-10-16,1.0430032421835138
2024-10-17,1.0403329931320502
2024-10-18,1.0424931939380115
2024-10-21,1.037917233974956
2024-10-22,1.0378887594309327
2024-10-23,1.032120737848649
2024-10-24,1.0340637241226391
2024-10-25,1.0327646930069496
2024-10-28,1.0335667167469154
2024-10-29,1.0347982230241062
2024-10-30,1.0328138657154653
2024-10-31,1.0233359001922662
2024-11-01,1.0232191522612701
2024-11-04,1.0243866286348335
2024-11-05,1.0314948420066392
2024-11-06,1.0388656763742699
2024-11-07,1.0467454332117174
2024-11-08,1.0499270856250411
2024-11-11,1.0493144536544454
2024-11-12,1.0444109527268197
2024-11-13,1.0444151051714705
2024-11-14,1.0411419971703784
2024-11-15,1.0351029862603789
2024-11-18,1.037608001482686
2024-11-19,1.0403652352161061
2024-11-20,1.0399157336796787
2024-11-21,1.0422012565257177
2024-11-22,1.0439320739086786
2024-11-25,1.0507374312263578
2024-11-26,1.0522865796463503
2024-11-27,1.0523472477868159
2024-11-28,1.0523472477868159
2024-11-29,1.0574584630686157
2024-12-02,1.058670600691614
2024-12-03,1.0575855698149341
2024-12-04,1.0625686427471446
2024-12-05,1.06183401270531
2024-12-06,1.0643160285243711
2024-12-09,1.060069443760824
2024-12-10,1.0579208696920468
2024-12-11,1.0604837243827232
2024-12-12,1.0556974835562372
2024-12-13,1.0533526003713778
2024-12-16,1.0560624183995917
2024-12-17,1.0541195750980088
2024-12-18,1.0351071162130945
2024-12-19,1.0334233985154195
2024-12-20,1.040879235183077
2024-12-23,1.0419980057439318
2024-12-24,1.0481777379075963
2024-12-25,1.0481777379075963
2024-12-26,1.0486009051796428
2024-12-27,1.0423031450443565
2024-12-30,1.0389581095602995
2024-12-31,1.0362757616244784
2025-01-01,1.0362757616244784
2025-01-02,1.0353248794554528
2025-01-03,1.0406427602242734
2025-01-06,1.0428835767643623
2025-01-07,1.0354635247082524
2025-01-08,1.0367864191497629
2025-01-09,1.0367864191497629
2025-01-10,1.0265662419068295
2025-01-13,1.0267651328607843
2025-01-14,1.0278076094674637
2025-01-15,1.0408956874685678
2025-01-16,1.0410533413314147
2025-01-17,1.0460620858631917
2025-01-20,1.0460620858631917
2025-01-21,1.0521440650506797
2025-01-22,1.0537192123935815
2025-01-23,1.055527962270668
2025-01-24,1.055197862138803
2025-01-27,1.0512475236805867
2025-01-28,1.0551311338851768
2025-01-29,1.0526222355157064
2025-01-30,1.0560251947403607
2025-01-31,1.0526344769361589
2025-02-03,1.049853088614286
2025-02-04,1.0539027617484076
2025-02-05,1.0587772098798418
2025-02-06,1.0598615577649593
2025-02-07,1.053635064284781
2025-02-10,1.0571140446347884
2025-02-11,1.0565484345388718
2025-02-12,1.0520693179625897
2025-02-13,1.0605989041351356
2025-02-14,1.0623818331797248
2025-02-17,1.0623818331797248
2025-02-18,1.0617120041089123
2025-02-19,1.0636600648525931
2025-02-20,1.062313631512808
2025-02-21,1.0563888245688073
2025-02-24,1.05493406469251
2025-02-25,1.056064483749742
2025-02-26,1.0571605916611837
2025-02-27,1.04863043485085
2025-02-28,1.058603684855331
2025-03-03,1.0512955260065484
2025-03-04,1.043910197140984
2025-03-05,1.0471399894208062
2025-03-06,1.0380478614764914
2025-03-07,1.040141076433193
2025-03-10,1.0298700538124106
2025-03-11,1.0237883417296265
2025-03-12,1.0251854915611631
2025-03-13,1.0204958779852737
2025-03-14,1.0289395023133359
2025-03-17,1.0333796710293848
2025-03-18,1.0287989133041406
2025-03-19,1.0356599153963228
2025-03-20,1.034495926270862
2025-03-21,1.034201342278537
2025-03-24,1.0403847642111625
2025-03-25,1.0422331782339427
2025-03-26,1.0352329914830816
2025-03-27,1.0337282050193366
2025-03-28,1.0272505942869643
2025-03-31,1.0314284704458612
2025-04-01,1.0345169638867961
2025-04-02,1.0371044984974256
2025-04-03,1.0162463429491253
