,lstm_forecast,lstm_ci_low,lstm_ci_high
2025-09-25,240.75655,224.79634367863855,258.93317459689007
2025-09-26,239.94107,222.47232162457118,258.8904443994172
2025-09-29,239.14825,229.34885773797137,267.90202965358077
2025-09-30,238.37729,224.48746781690016,262.51237215842855
2025-10-01,237.62737,223.6887660315367,255.17814406894593
2025-10-02,236.89775,225.29197222348705,255.23915641983044
2025-10-03,236.1878,223.35777163758098,256.89358825135355
2025-10-06,235.4969,223.06751427051358,264.244664797391
2025-10-07,234.82437,220.63383930309524,248.78964003465228
2025-10-08,234.1696,221.1230354054762,260.0727627144141
2025-10-09,233.532,221.92622109541665,260.4606795460394
2025-10-10,232.91107,220.01969359731973,257.3707649684091
2025-10-13,232.30629,219.36894237299822,264.4829213228069
2025-10-14,231.7171,219.78533709242714,251.841265322174
2025-10-15,231.14305,212.8679628666478,256.8924670292477
2025-10-16,230.58365,221.79931627699287,254.68952448804734
2025-10-17,230.03847,218.44196305272126,252.45046469440547
2025-10-20,229.50711,214.88232969666024,248.5932260900944
2025-10-21,228.9891,215.36036176447305,247.00926736487224
2025-10-22,228.48409,210.50495199851852,256.27802012187846
2025-10-23,227.99165,209.9993949284768,246.23035424787508
2025-10-24,227.5114,215.25911507610826,242.9064326771803
2025-10-27,227.04303,211.2116395693885,251.15252591021843
2025-10-28,226.5862,213.79170038339456,251.8043225989836
2025-10-29,226.14053,212.82940493055506,250.77148325382146
2025-10-30,225.70576,213.1991459746268,248.2232118188356
2025-10-31,225.28156,214.90120226232216,252.3744848830107
2025-11-03,224.86754,206.78007861096364,247.29668364483788
2025-11-04,224.46353,206.18494434908854,245.50644377100534
2025-11-05,224.06927,211.332565782258,236.54722086312347
2025-11-06,223.6844,213.42890844095302,250.55769050424774
2025-11-07,223.30869,207.9296675568742,251.04890903267557
2025-11-10,222.94191,205.00509578944943,242.29410781300876
2025-11-11,222.58377,206.6778084567645,253.92697199702843
2025-11-12,222.23412,207.36556515666393,250.66392215308036
2025-11-13,221.89262,202.2571003680948,242.1854881159458
2025-11-14,221.55916,208.76438114852797,238.84775830961283
2025-11-17,221.23346,208.03753156525102,241.51975939015696
2025-11-18,220.91531,205.45171186849058,248.84821120602845
2025-11-19,220.60458,213.2115770540801,237.62270428725466
2025-11-20,220.30101,202.35934160942512,245.32048178341674
2025-11-21,220.00444,206.91996703573844,236.04814827464145
2025-11-24,219.71468,204.56501820114713,237.85307271901698
2025-11-25,219.43156,206.9984803773257,235.45595103194663
2025-11-26,219.15489,204.90514015589076,239.6214054505213
2025-11-27,218.88457,199.26228413233747,240.00223247328015
2025-11-28,218.62035,206.30427362142544,238.61882712195796
2025-12-01,218.36209,200.43070215596933,240.5824780069013
2025-12-02,218.10971,205.1619782741451,236.15001845071572
2025-12-03,217.86299,198.90296413344146,238.78289099956993
2025-12-04,217.62184,201.905927145206,242.77991385218877
2025-12-05,217.3861,205.15575633548016,237.59571159792623
2025-12-08,217.15564,203.75071115223173,237.8437087322939
2025-12-09,216.93031,201.65849774873854,238.1534442376746
2025-12-10,216.71,203.95723413668415,240.1118550431489
2025-12-11,216.49458,198.9796526624214,235.02883505856767
2025-12-12,216.28395,203.08802946392714,243.1369457190114
2025-12-15,216.07797,202.65289738363103,232.35650211130664
2025-12-16,215.87653,202.7992732875572,232.4297578092608
2025-12-17,215.67953,203.72684733178025,240.89828923894513
2025-12-18,215.48688,203.1489614979788,243.20620518366187
2025-12-19,215.29843,203.2908764401902,233.68253426512413
2025-12-22,215.11412,198.06365086154895,234.68724414910767
2025-12-23,214.93385,204.0060861557039,239.1016792238356
2025-12-24,214.7575,199.59338543606722,232.63322298247905
2025-12-25,214.58499,199.14861515775766,231.77728526056302
2025-12-26,214.41623,193.01681255245464,235.60030827164675
2025-12-29,214.25114,196.9002161475582,230.32246727874906
2025-12-30,214.08963,203.16186279398778,235.25641871836652
2025-12-31,213.9316,200.0039702075457,232.13330619380918
2026-01-01,213.777,195.7326503936507,231.4688244633462
2026-01-02,213.6257,198.42080825177996,238.22901940424347
2026-01-05,213.47769,201.3341859583257,244.11823176419384
2026-01-06,213.33284,202.97496445388416,232.37798626222641
2026-01-07,213.19113,195.2925555761863,233.4839958660124
2026-01-08,213.05244,197.11344304148406,243.285476148031
2026-01-09,212.91672,198.2575326574789,231.66382120983656
2026-01-12,212.78387,200.37719581321767,231.91901160696688
2026-01-13,212.65388,198.33973631945858,229.88954802933324
2026-01-14,212.52667,199.1806556986602,231.2591667950699
2026-01-15,212.40216,192.6148137374311,230.26235784783637
2026-01-16,212.28032,194.92251894092323,228.3536928568012
