,forecast,ci_lower,ci_upper
2026-03-17,249.05446293551688,105.11041378920714,392.9985120818266
2026-03-18,249.05514767894013,104.67278028181084,393.4375150760694
2026-03-19,249.0550788628405,104.23568815934576,393.8744695663353
2026-03-20,249.05439940198437,103.79928433400309,394.3095144699656
2026-03-23,249.05394764418185,103.36442820014304,394.74346708822065
2026-03-24,249.054227845352,102.93162265783948,395.17683303286447
2026-03-25,249.0548540174402,102.50044811694752,395.60925991793283
2026-03-26,249.0550717417776,102.07011279322131,396.0400306903339
2026-03-27,249.05466304188695,101.64038806211971,396.4689380216542
2026-03-30,249.05415391854407,101.21181308195466,396.8964947551335
2026-03-31,249.05414260074662,100.78499307595288,397.3232921255403
2026-04-01,249.0546004543154,100.35988024771703,397.7493206609138
2026-04-02,249.05495772218265,99.93587170830952,398.17404373605575
2026-04-03,249.0548089528623,99.51254231859588,398.5970755871287
2026-04-06,249.0543689280396,99.09011022900384,399.0186276270754
2026-04-07,249.05417183070864,98.66911833396009,399.43922532745717
2026-04-08,249.05442562183867,98.24976650358633,399.859084740091
2026-04-09,249.05479847914683,97.83169742409348,400.2778995342002
2026-04-10,249.05484847130663,97.4144459894801,400.69525095313315
2026-04-13,249.05454475878173,96.99797594502826,401.1111135725352
2026-04-14,249.05426884687557,96.58267484328167,401.5258628504695
2026-04-15,249.05433804178355,96.16885866759378,401.9398174159733
2026-04-16,249.05464324242408,95.75640112805394,402.3528853567942
2026-04-17,249.0548110896886,95.34490654648752,402.76471563288965
2026-04-20,249.05465865476737,94.93418039619036,403.1751369133444
2026-04-21,249.0543893885896,94.52442744634422,403.58435133083503
2026-04-22,249.05432502714496,94.11597087844987,403.99267917584007
2026-04-23,249.05452294852083,93.7088579757405,404.40018792130115
2026-04-24,249.05473187056847,93.30281865523818,404.80664508589877
2026-04-27,249.05470883944142,92.89759522828206,405.2118224506008
2026-04-28,249.05449998757754,92.49323022628377,405.61576974887134
2026-04-29,249.05436284779134,92.08998241418922,406.0187432813934
2026-04-30,249.05445027962034,91.68799951085052,406.4209010483902
2026-05-01,249.05464216292137,91.28714715386519,406.82213717197754
2026-05-04,249.05470744612884,90.88717909651777,407.22223579573995
2026-05-05,249.05458111674858,90.48802282230142,407.6211394111957
2026-05-06,249.05442559291495,90.08984004064862,408.01901114518125
2026-05-07,249.05442349360032,89.69281089862892,408.41603608857173
2026-05-08,249.05456438475147,89.2969150729952,408.81221369650774
2026-05-11,249.05467305617393,88.90196357306377,409.2073825392841
2026-05-12,249.05462631647063,88.5078233529309,409.6014292800104
2026-05-13,249.05449134515777,88.114558356532,409.9944243337835
2026-05-14,249.05443190239973,87.72233063460178,410.3865331701977
2026-05-15,249.0545105174851,87.33119622680249,410.77782480816774
2026-05-18,249.05462453924076,86.94104108654017,411.16820799194136
2026-05-19,249.05463890693585,86.55171950454508,411.5575583093266
2026-05-20,249.05454533284114,86.1632176773087,411.9458729883736
2026-05-21,249.0544612722858,85.77565083722376,412.3332717073479
2026-05-22,249.0544833096724,85.38911124725306,412.71985537209173
2026-05-25,249.05457701790988,85.00355566100421,413.10559837481554
2026-05-26,249.05462782792043,84.61885929272086,413.49039636312
2026-05-27,249.05458047489904,84.23495979363389,413.8742011561642
2026-05-28,249.0544980480962,83.85191689781749,414.2570791983749
2026-05-29,249.0544789783081,83.46982572803066,414.6391322285856
2026-06-01,249.05454004437144,83.08869647407803,415.02038361466487
2026-06-02,249.05460378254045,82.70844264213744,415.4007649229435
2026-06-03,249.05459612954635,82.3289823664164,415.78020989267634
2026-06-04,249.05453193801225,81.95032593078716,416.15873794523736
2026-06-05,249.054490313617,81.5725492757955,416.5364313514385
2026-06-08,249.05451758479288,81.19569375385751,416.91334141572827
2026-06-09,249.05457638098733,80.8197144452079,417.2894383167668
2026-06-10,249.0545959445115,80.44453282385908,417.66465906516396
2026-06-11,249.05455690149824,80.07012400243369,418.03898980056283
2026-06-12,249.05450939706992,79.69653458949537,418.41248420464444
2026-06-15,249.05450917357084,79.32381630024085,418.78520204690085
2026-06-16,249.05455252497765,78.95195929764708,419.1571457523082
2026-06-17,249.05458557553507,78.58090250095256,419.5282686501176
2026-06-18,249.05457090076132,78.21060245571371,419.8985393458089
2026-06-19,249.0545295032499,77.84107606967842,420.2679829368214
2026-06-22,249.05451158200404,77.47236990428965,420.6366532597184
2026-06-23,249.0545359296694,77.10449776023617,421.0045740991027
2026-06-24,249.0545707954034,76.73742151761627,421.37172007319055
2026-06-25,249.05457490602612,76.37109379157764,421.7380560204746
2026-06-26,249.05454607857627,76.00550780050074,422.1035843566518
2026-06-29,249.05452047114588,75.64069607426688,422.4683448680249
2026-06-30,249.05452747931986,75.27668379408732,422.8323711645524
2026-07-01,249.05455624917232,74.91345462259679,423.1956578757479
2026-07-02,249.05457162658016,74.55096755600715,423.55817569715316
2026-07-03,249.0545569202536,74.1892009919678,423.9199128485394
2026-07-06,249.05453168992878,73.82817067988739,424.2808926999702
2026-07-07,249.0545260468852,73.46790295277344,424.64114914099696
2026-07-08,249.05454488588362,73.10839800235922,425.00069176940804
2026-07-09,249.05456432933707,72.74962657400815,425.359502084666
2026-07-10,249.0545618017673,72.39156110296241,425.71756250057217
2026-07-13,249.05454207377804,72.03420233168782,426.07488181586825
2026-07-14,249.0545294422003,71.67757095404684,426.4314879303538
2026-07-15,249.05453794532391,71.32167690133713,426.7873989893107
2026-07-16,249.05455596013815,70.96650372520983,427.1426081950665
2026-07-17,249.05456181925626,70.61202489966252,427.49709873885
