,forecast,ci_lower,ci_upper
2025-07-31,249.1210244190493,20.543448081404364,477.6986007566942
2025-08-01,249.12102438376635,20.26751827268623,477.9745304948465
2025-08-04,249.1210243472233,19.991920752419844,478.2501279420268
2025-08-05,249.1210243519629,19.71665436627245,478.5253943376533
2025-08-06,249.12102438922074,19.44171791458075,478.8003308638607
2025-08-07,249.1210244131559,19.167110167171643,479.0749386591402
2025-08-08,249.1210243970206,18.89282992070784,479.34921887333337
2025-08-11,249.12102436271908,18.61887602852741,479.62317269691073
2025-08-12,249.1210243515255,18.345247370426307,479.8968013326247
2025-08-13,249.1210243746162,18.071942802155377,480.17010594707705
2025-08-14,249.12102440246537,17.798961144823693,480.44308766010704
2025-08-15,249.12102440235162,17.526301223295633,480.71574758140764
2025-08-18,249.12102437661494,17.253961905051824,480.98808684817806
2025-08-19,249.12102435717048,16.98194209427777,481.2601066200632
2025-08-20,249.12102436610536,16.710240691519346,481.5318080406914
2025-08-21,249.12102439080138,16.438856568418913,481.8031922131838
2025-08-22,249.1210244013307,16.167788585619746,482.0742602170416
2025-08-25,249.1210243865825,15.89703562957223,482.3450131435927
2025-08-26,249.12102436568202,15.626596623939633,482.6154521074244
2025-08-27,249.12102436339006,15.356470504302422,482.8855782224777
2025-08-28,249.1210243808994,15.086656188379578,483.15539257341925
2025-08-29,249.12102439631022,14.817152576646748,483.4248962159737
2025-09-01,249.1210243918892,14.547958580173884,483.6940902036045
2025-09-02,249.121024374337,14.27907314114168,483.9629756075323
2025-09-03,249.12102436507655,14.010495222730214,484.23155350742286
2025-09-04,249.1210243742088,13.742223782485183,484.49982496593236
2025-09-05,249.12102438967477,13.474257761343893,484.76779101800565
2025-09-08,249.1210243930113,13.20659609977352,485.0354526862491
2025-09-09,249.12102438130086,12.939237760080914,485.3028110025208
2025-09-10,249.12102436933264,12.672181728440876,485.5698670102244
2025-09-11,249.12102437102763,12.405426995835114,485.83662174622015
2025-09-12,249.12102438333835,12.138972541652123,486.10307622502455
2025-09-15,249.12102439112826,11.872817338732233,486.3692314435243
2025-09-16,249.12102438570665,11.60696037225182,486.6350883991615
2025-09-17,249.12102437441362,11.341400649368495,486.90064809945875
2025-09-18,249.12102437082916,11.076137189104173,487.1659115525541
2025-09-19,249.12102437850783,10.811169005725247,487.4308797512904
2025-09-22,249.12102438764188,10.54649510538681,487.695553669897
2025-09-23,249.1210243875076,10.282114498839832,487.9599342761753
2025-09-24,249.12102437899273,10.018026214124859,488.2240225438606
2025-09-25,249.12102437264863,9.75422929446151,488.4878194508358
2025-09-26,249.12102437567233,9.490722784905927,488.75132596643874
2025-09-29,249.12102438381228,9.227505724111808,489.01454304351273
2025-09-30,249.1210243872103,8.964577150313232,489.27747162410736
2025-10-01,249.12102438229414,8.701936113410284,489.540112651178
2025-10-02,249.12102437543018,8.439581678592077,489.8024670722683
2025-10-03,249.1210243747444,8.177512917911656,490.06453583157713
2025-10-06,249.1210243805455,7.915728900504405,490.3263198605866
2025-10-07,249.12102438558355,7.654228692871612,490.5878200782955
2025-10-08,249.1210243840673,7.393011368060712,490.84903740007394
2025-10-09,249.1210243782753,7.132076012332703,491.1099727442179
2025-10-10,249.1210243752723,6.871421721727131,491.37062702881747
2025-10-13,249.12102437832596,6.611047593269461,491.63100116338245
2025-10-14,249.12102438341137,6.350952721412227,491.8910960454105
2025-10-15,249.12102438446163,6.091136203387691,492.1509125655356
2025-10-16,249.1210243805755,5.831597146508813,492.41045161464217
2025-10-17,249.12102437665635,5.572334668743281,492.6697140845694
2025-10-20,249.1210243772587,5.313347892383945,492.92870086213344
2025-10-21,249.12102438132595,5.054635938671112,493.1874128239808
2025-10-22,249.1210243838606,4.796197929496856,493.4458508382244
2025-10-23,249.12102438203976,4.538032993611836,493.70401577046766
2025-10-24,249.12102437832215,4.280140269730765,493.96190848691356
2025-10-27,249.1210243771754,4.022518903134994,494.2195298512158
2025-10-28,249.1210243797284,3.7651680401922363,494.47688071926456
2025-10-29,249.12102438272385,3.508086827285098,494.73396193816257
2025-10-30,249.1210243826477,3.251274415005014,494.9907743502904
2025-10-31,249.12102437983094,2.9947299622875505,495.2473187973743
2025-11-03,249.12102437776147,2.7384526356526635,495.5035961198703
2025-11-04,249.12102437878391,2.4824416047819966,495.75960715278586
2025-11-05,249.1210243814666,2.226696039821803,496.0153527231114
2025-11-06,249.12102438256264,1.9712151133714144,496.27083365175383
2025-11-07,249.12102438092427,1.7159980044411043,496.52605075740746
2025-11-10,249.1210243786703,1.461043899591175,496.78100485774945
2025-11-11,249.12102437846724,1.206351990116275,497.0356967668182
2025-11-12,249.12102438038897,0.9519214688221496,497.2901272919558
2025-11-13,249.12102438203573,0.6977515301360881,497.54429723393537
2025-11-14,249.12102438151658,0.44384137312400185,497.7982073899092
2025-11-17,249.1210243796055,0.19019020364689254,498.0518585555641
2025-11-18,249.12102437863203,-0.06320276681447012,498.3052515240785
2025-11-19,249.1210243796528,-0.3163383240718076,498.5583870833774
2025-11-20,249.12102438132476,-0.5692172523925478,498.81126601504207
2025-11-21,249.1210243816546,-0.821840332734098,499.0638890960433
2025-11-24,249.12102438036518,-1.0742083403642368,499.3162571010946
2025-11-25,249.12102437908197,-1.3263220447122137,499.5683708028762
2025-11-26,249.12102437929488,-1.5781822114795716,499.82023097006936
2025-11-27,249.1210243806385,-1.8297896044125537,500.07183836568953
2025-11-28,249.12102438146297,-2.0811449847359427,500.3231937476619
2025-12-01,249.12102438085174,-2.332249109121534,500.57429787082503
